# 2025-04-21 00:50:11.567289
# Qlearning:episodes 5000, max_steps: 10000, alpha: 0.2, epsilon: 0, gamma: 0.950,-37760.899853650386
100,-1270.9347206833622
200,-255.04622433107787
300,-107.07748371581172
400,-98.3333623059176
500,-148.6321880446157
600,-87.13537782433548
700,-122.45909447209054
800,-75.21775367511239
900,-66.83830625796209
1000,-151.57590522035446
1100,-74.77545541163732
1200,-272.065300501348
1300,-72.65799533206909
1400,-81.16827634973383
1500,-119.79820555864718
1600,-101.95114827418142
1700,-68.1963914720235
1800,-67.1593930531123
1900,-67.32105180162276
2000,-68.15313138462577
2100,-72.3685311926918
2200,-70.98899777665812
2300,-71.3683717708323
2400,-70.78421234612716
2500,-70.69223474768363
2600,-68.64682585661137
2700,-65.8016406897529
2800,-69.3286046282079
2900,-66.59107206607523
3000,-69.02819176798089
3100,-69.02817676749872
3200,-68.17023592459594
3300,-67.48307132360246
3400,-66.72900514268132
3500,-70.53324326473671
3600,-67.67242562934716
3700,-66.9562058775684
3800,-66.48277826295035
3900,-68.72034381651505
4000,-67.11818946952067
4100,-66.46284637212459
4200,-65.18478041083011
4300,-71.3638887134233
4400,-67.93787868785981
4500,-68.05045361268131
4600,-67.51756126549292
4700,-65.38697747955106
4800,-68.25237272424484
4900,-68.65444498096127
# 2025-04-21 00:57:39.026845
# Qlearning:episodes 5000, max_steps: 10000, alpha: 0.2, epsilon: 0, gamma: 0.950,-9139.629998245444
100,-14156.327537707566
200,-89.08355709128375
300,-111.96459405357328
400,-100.39194667294727
500,-110.02753665199981
600,-301.36851068343594
700,-366.4466956255135
800,-352.5955117185182
900,-405.843080327269
1000,-381.36718033758586
1100,-79.57650957636781
1200,-87.90577604930338
1300,-78.29791440617761
1400,-80.65049324057048
1500,-267.0042249157682
1600,-436.52525496930156
1700,-515.3665865476364
1800,-69.80285903449406
1900,-69.8148749575017
2000,-67.56246740149159
2100,-69.28412187688417
2200,-74.28008130643364
2300,-69.09807649167904
2400,-69.53520939705616
2500,-66.9208433205604
2600,-74.25911147682721
2700,-359.224325974046
2800,-370.0400179780718
2900,-373.58346390539316
3000,-374.2550763169477
3100,-396.68255410841266
3200,-375.8582175116217
3300,-346.6789771274447
3400,-347.25668696689434
3500,-347.6828837149358
3600,-383.89858191979874
3700,-353.50628639859235
3800,-372.04414837293064
3900,-356.0301343476589
4000,-341.8762985362238
4100,-381.92776597155637
4200,-393.2889083181628
4300,-375.412719947745
4400,-358.48514671173166
4500,-382.6016336927093
4600,-366.0596541083845
4700,-364.3766877113035
4800,-327.16156284032803
4900,-348.5048738071733
